L	0.312243	0.58034	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	0.287757	0.0196602	5.19994	0	0
R	0.732782	0.626929	7.26541	1.04811e-16	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	0.222472	0.0235506	3.95641	0.00127057	0
L	1.16056	0.494774	7.21051	-0.918579	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.183152	0.0638467	3.43272	0.533455	73.1659
R	1.25688	0.533508	7.19973	0.864476	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	0.170133	0.0646808	3.13663	0.628992	0.218167
L	1.6169	0.595158	7.17446	1.1544	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.152519	0.0579184	2.94138	0.758159	1.82896
R	1.85156	0.564175	5.91865	0.201656	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	0.140618	0.055135	2.70119	0.695767	0.16228
L	2.16006	0.594744	5.91695	0.285853	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.130187	0.051167	2.51558	0.650948	6.64914
R	2.37514	0.643004	5.42602	0.428135	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	0.122786	0.0495918	2.35452	0.623392	0.239615
L	2.64681	0.663414	5.43245	0.381195	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.11627	0.0501319	2.22128	0.597141	4.7053
R	2.91388	0.657612	5.39924	0.146428	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.11059	0.0496268	2.1083	0.566879	0.00458726
L	3.14549	0.657015	5.35154	0.0796776	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0.106657	0.0488115	2.01076	0.540528	0.117722
R	3.43408	0.551249	5.37439	-0.768795	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	0.102354	0.0510811	1.9259	0.577394	1.02185
L	3.73881	0.4369	5.32772	-1.48372	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	0.0985124	0.0724642	1.85075	0.714449	1.60493
R	4.0177	0.520909	5.48416	-0.728441	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	0.0955475	0.0763773	1.78522	0.728494	2.42592
L	4.29158	0.514637	5.46143	-0.679415	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.0934037	0.0811504	1.72619	0.738539	3.87708
R	4.54794	0.560295	5.31336	-0.377211	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	0.0913859	0.0820992	1.67171	0.730214	0.29394
L	4.72435	0.677802	5.07081	0.208082	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	0.0889559	0.0796916	1.622	0.708461	1.51569
R	4.97676	0.67395	4.97971	0.1478	5.20902	0.66599	5.01315	0.679804	5.1727	0.272649	0.0868742	0.0774587	1.57695	0.689129	11.1744
L	5.27583	0.66421	5.07805	0.0666061	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	0.0845624	0.0757067	1.53503	0.672964	0.912679
R	5.53715	0.668907	5.27095	0.071713	5.22835	0.639362	5.53013	0.710295	5.16422	0.337868	0.0824362	0.0743679	1.49636	0.658619	3.20221
L	5.83667	0.680784	5.33702	0.0865983	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	0.0811396	0.0733055	1.46081	0.645778	1.89489
R	6.07718	0.607316	5.11502	-0.194364	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	0.0795491	0.077618	1.42725	0.643944	1.87549
L	6.32845	0.718605	5.09477	0.180811	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	0.0779703	0.0766387	1.39592	0.632253	3.341
R	6.57879	0.749811	5.05274	0.251211	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	0.0764139	0.07553	1.36665	0.620831	3.60853
L	6.8235	0.746815	5.04143	0.211374	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	0.0748779	0.0753606	1.33917	0.611616	0.263333
R	7.06498	0.730714	4.85497	0.130726	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	0.0734485	0.0772544	1.31424	0.605986	0.159978
L	7.27594	0.812173	4.78685	0.335628	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	0.0728475	0.0767797	1.29125	0.597138	1.6458
R	7.57681	0.823113	5.18493	0.349001	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	0.0715592	0.0770624	1.26807	0.589402	2.46503
L	7.83235	0.801755	5.18198	0.252001	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.0703374	0.0800684	1.2461	0.585429	5.30882
R	8.08014	0.818968	4.96896	0.257428	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	0.069222	0.0839545	1.22536	0.582912	0.48305
L	8.31485	0.835781	4.94339	0.27306	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.0684062	0.0888468	1.20567	0.581571	2.18657
R	8.58941	0.921858	5.26587	0.48679	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	0.0673832	0.0907985	1.18721	0.576308	0.240126
L	8.83324	0.980859	5.22232	0.592907	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.0664915	0.0919757	1.16946	0.570341	6.43632
R	9.12576	1.01962	5.25678	0.63545	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	0.0655613	0.0934171	1.15275	0.564887	0.71773
L	9.3664	1.05314	5.21277	0.662112	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.0646228	0.0954592	1.13661	0.560236	6.77862
R	9.64807	1.12562	5.26053	0.784973	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	0.0639934	0.0965715	1.12151	0.554715	0.651092
L	9.92857	1.25342	5.27191	1.03225	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	0.0640491	0.0957295	1.10723	0.547498	4.34284
R	10.1741	1.33896	4.98154	1.10733	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	0.0640066	0.0945966	1.09257	0.540495	3.13363
L	10.3928	1.41893	4.91099	1.20285	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	0.0634017	0.0933998	1.07849	0.533629	4.72419
R	10.623	1.49434	4.66876	1.2365	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	0.0626556	0.092226	1.06572	0.527138	1.21973
L	10.8372	1.52659	4.62527	1.21472	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	0.0619362	0.0912966	1.05357	0.521447	2.4669
