L	0.312243	0.58034	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	0.287757	0.0196602	5.19994	0	0
R	0.747002	0.663049	1.54077	2.82481	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	0.2186	0.0466692	4.49597	1.99617	0
L	0.798298	0.721566	1.69741	2.73276	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.257588	0.0797492	4.19093	2.26627	0
R	0.8943	0.396736	3.73662	2.14494	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	0.329741	0.123138	3.70237	2.23398	0
L	1.20597	0.596248	4.10661	1.93552	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.353048	0.110162	3.3473	2.17438	0
R	1.48402	0.558809	4.80376	1.491	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	0.364258	0.102131	3.05988	2.07297	0
L	1.82281	0.658628	5.05665	1.29146	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.360476	0.096776	2.83339	1.97683	0
R	2.08011	0.667413	5.06359	1.02685	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	0.357912	0.0930698	2.65081	1.88112	0
L	2.39922	0.716105	5.20641	0.883118	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.350122	0.0947126	2.49921	1.7944	0
R	2.69384	0.703022	5.27319	0.584343	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.341085	0.0942745	2.37109	1.70975	0
L	2.96897	0.717951	5.3001	0.512406	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0.332506	0.0948751	2.26099	1.63495	0
R	3.27404	0.646142	5.34631	0.0791364	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	0.322761	0.091088	2.1652	1.56539	0
L	3.61153	0.584695	5.48597	-0.223084	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	0.311495	0.0883781	2.08191	1.50734	0
R	3.8982	0.595925	5.51432	-0.146415	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	0.300903	0.0858573	2.0081	1.45485	0
L	4.19792	0.58434	5.55607	-0.17294	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.290869	0.0844334	1.94241	1.4086	0
R	4.45794	0.599564	5.37856	-0.104041	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	0.281789	0.0829396	1.88138	1.36619	0
L	4.65831	0.671485	5.2548	0.178504	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	0.274366	0.0804708	1.82531	1.32549	0
R	4.91281	0.666102	5.07995	0.11108	5.20902	0.66599	5.01315	0.679804	5.1727	0.272649	0.267683	0.0782702	1.77402	1.28871	0
L	5.22611	0.660623	5.18531	0.0614449	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	0.260754	0.0765719	1.72671	1.25558	0
R	5.48926	0.665318	5.30066	0.0781618	5.22835	0.639362	5.53013	0.710295	5.16422	0.337868	0.254316	0.0753076	1.68326	1.22516	0
L	5.79804	0.676228	5.3776	0.0918736	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	0.248196	0.0743584	1.64339	1.19721	0
